,enterprise_value.annual_stock_increase
enterprise_value.annual_stock_increase,1
key_metrics.enterpriseValueOverEBITDA,0.360546333
ratio.enterpriseValueMultiple,0.360402587
key_metrics.pocfratio,0.351598389
ratio.priceCashFlowRatio,0.351425033
ratio.priceToOperatingCashFlowsRatio,0.351425033
key_metrics.evToOperatingCashFlow,0.314425903
enterprise_value.stockPrice,0.301007096
key_metrics.priceToSalesRatio,0.300358791
ratio.priceSalesRatio,0.299976916
ratio.priceToSalesRatio,0.299976916
key_metrics.peRatio,0.295235494
ratio.priceEarningsRatio,0.2951148
key_metrics.evToSales,0.267277465
key_metrics.pbRatio,0.263857705
key_metrics.ptbRatio,0.263857705
ratio.priceFairValue,0.263481963
ratio.priceToBookRatio,0.263481963
ratio.priceBookValueRatio,0.263481963
ratio.priceToFreeCashFlowsRatio,0.232719071
key_metrics.pfcfRatio,0.232717797
financial_growth.assetGrowth,0.207551402
financial_growth.grossProfitGrowth,0.201067517
key_metrics.evToFreeCashFlow,0.197970578
financial_growth.rdexpenseGrowth,0.188516825
financial_growth.ebitgrowth,0.187880371
financial_growth.operatingIncomeGrowth,0.187880371
income_statement_growht.growthGrossProfit,0.186127017
financial_growth.fiveYOperatingCFGrowthPerShare,0.185686299
financial_growth.receivablesGrowth,0.17796972
financial_growth.revenueGrowth,0.172764158
income_statement_growht.growthRevenue,0.165625077
income_statement_growht.growthOperatingIncome,0.164879939
income_statement_growht.growthResearchAndDevelopmentExpenses,0.163763826
key_metrics.stockBasedCompensationToRevenue,0.163432409
financial_growth.fiveYRevenueGrowthPerShare,0.162821623
income_statement_growht.growthIncomeBeforeTax,0.157566238
enterprise_value.marketCapitalization,0.15144634
income_statement_growht.growthEBITDA,0.151423583
financial_growth.tenYOperatingCFGrowthPerShare,0.151374864
key_metrics.researchAndDdevelopementToRevenue,0.150042696
income_statement_growht.growthIncomeTaxExpense,0.145590096
financial_growth.operatingCashFlowGrowth,0.144641229
key_metrics.netCurrentAssetValue,0.143173051
financial_growth.threeYOperatingCFGrowthPerShare,0.141379881
key_metrics.marketCap,0.139339449
cash_flow.changeInWorkingCapital,0.137169379
income_statement_growht.growthGrossProfitRatio,0.137052147
financial_growth.tenYRevenueGrowthPerShare,0.134184345
income_statement_growht.growthIncomeBeforeTaxRatio,0.133770177
income_statement.incomeBeforeTaxRatio,0.132112772
key_metrics.roic,0.130747833
ratio.returnOnCapitalEmployed,0.130449239
financial_growth.threeYDividendperShareGrowthPerShare,0.130423492
cash_flow.investmentsInPropertyPlantAndEquipment,0.126848921
cash_flow.capitalExpenditure,0.124809316
balance_sheet.accumulatedOtherComprehensiveIncomeLoss,0.121997305
key_metrics.interestCoverage,0.120989552
financial_growth.netIncomeGrowth,0.120545932
ratio.interestCoverage,0.120481293
income_statement.operatingIncomeRatio,0.12021773
ratio.priceEarningsToGrowthRatio,0.120124292
income_statement_growht.growthEBITDARatio,0.116429007
ratio.pretaxProfitMargin,0.116017789
financial_growth.epsgrowth,0.115719307
financial_growth.epsdilutedGrowth,0.115578174
income_statement_growht.growthOperatingIncomeRatio,0.115314293
ratio.ebitPerRevenue,0.114777279
financial_growth.sgaexpensesGrowth,0.113385439
income_statement_growht.growthGeneralAndAdministrativeExpenses,0.11279935
financial_growth.fiveYShareholdersEquityGrowthPerShare,0.111466852
cash_flow.accountsPayables,0.11110163
ratio.freeCashFlowOperatingCashFlowRatio,0.110217939
financial_growth.fiveYNetIncomeGrowthPerShare,0.108246257
key_metrics.returnOnTangibleAssets,0.10810147
ratio.returnOnAssets,0.107916048
income_statement.netIncomeRatio,0.10574293
cash_flow.effectOfForexChangesOnCash,0.105567577
financial_growth.fiveYDividendperShareGrowthPerShare,0.104587058
ratio.operatingProfitMargin,0.101697787
financial_growth.freeCashFlowGrowth,0.101530233
ratio.fixedAssetTurnover,0.100740832
financial_growth.inventoryGrowth,0.099675251
cash_flow.netChangeInCash,0.099210642
income_statement_growht.growthNetIncome,0.098262099
ratio.quickRatio,0.097352697
financial_growth.tenYNetIncomeGrowthPerShare,0.095852499
income_statement.grossProfitRatio,0.095852193
financial_growth.threeYRevenueGrowthPerShare,0.095748892
financial_growth.threeYNetIncomeGrowthPerShare,0.094733099
income_statement_growht.growthSellingAndMarketingExpenses,0.093677491
income_statement_growht.growthEPSDiluted,0.093145793
key_metrics.freeCashFlowPerShare,0.092783486
income_statement_growht.growthEPS,0.092469993
ratio.freeCashFlowPerShare,0.092351715
enterprise_value.enterpriseValue,0.091951348
financial_growth.threeYShareholdersEquityGrowthPerShare,0.091476122
income_statement_growht.growthCostOfRevenue,0.09079023
income_statement_growht.growthCostAndExpenses,0.089738321
ratio.cashRatio,0.089356781
financial_growth.dividendsperShareGrowth,0.087985047
key_metrics.enterpriseValue,0.087591183
key_metrics.salesGeneralAndAdministrativeToRevenue,0.087282249
financial_growth.tenYShareholdersEquityGrowthPerShare,0.086360337
ratio.grossProfitMargin,0.085969544
ratio.cashPerShare,0.085202417
ratio.netProfitMargin,0.085044127
financial_growth.tenYDividendperShareGrowthPerShare,0.082914874
key_metrics.currentRatio,0.080860488
ratio.currentRatio,0.080679109
key_metrics.capexPerShare,0.080349748
cash_flow.acquisitionsNet,0.07987528
income_statement.eps,0.076039869
income_statement_growht.growthNetIncomeRatio,0.075631842
key_metrics.grahamNetNet,0.075583829
cash_flow.debtRepayment,0.075331611
income_statement.epsdiluted,0.073684001
income_statement_growht.growthWeightedAverageShsOutDil,0.073385881
key_metrics.roe,0.070682555
ratio.returnOnEquity,0.070325663
financial_growth.weightedAverageSharesDilutedGrowth,0.067486113
balance_sheet.totalInvestments,0.066421969
ratio.operatingCashFlowSalesRatio,0.066283126
income_statement_growht.growthDepreciationAndAmortization,0.064888228
cash_flow.otherWorkingCapital,0.063987144
key_metrics.cashPerShare,0.062059665
income_statement.ebitdaratio,0.058362656
income_statement_growht.growthWeightedAverageShsOut,0.058075085
key_metrics.netIncomePerShare,0.056791543
financial_growth.weightedAverageSharesGrowth,0.054811631
ratio.payablesTurnover,0.05474053
key_metrics.payablesTurnover,0.054269669
cash_flow.stockBasedCompensation,0.051210104
S&P500_INFO.CIK,0.050492481
cash_flow.commonStockRepurchased,0.050091277
ratio.cashFlowCoverageRatios,0.047661993
ratio.cashFlowToDebtRatio,0.047661993
cash_flow.dividendsPaid,0.046743944
income_statement_growht.growthOperatingExpenses,0.045412794
ratio.effectiveTaxRate,0.039028032
key_metrics.daysSalesOutstanding,0.036651325
ratio.daysOfSalesOutstanding,0.036458842
cash_flow.commonStockIssued,0.036132436
cash_flow.inventory,0.031806785
income_statement.incomeBeforeTax,0.026840098
income_statement.totalOtherIncomeExpensesNet,0.026674013
key_metrics.operatingCashFlowPerShare,0.020781471
ratio.operatingCashFlowPerShare,0.02050114
cash_flow.deferredIncomeTax,0.020148698
ratio.cashConversionCycle,0.019596971
key_metrics.workingCapital,0.018318593
income_statement_growht.growthInterestExpense,0.01702362
income_statement.netIncome,0.014850831
ratio.assetTurnover,0.014673091
key_metrics.daysOfInventoryOnHand,0.012681071
ratio.daysOfInventoryOutstanding,0.012183358
balance_sheet.cashAndShortTermInvestments,0.01104
cash_flow.netCashUsedProvidedByFinancingActivities,0.007686879
cash_flow.salesMaturitiesOfInvestments,0.007176075
key_metrics.grahamNumber,0.006679729
cash_flow.netIncome,0.005036915
income_statement.incomeTaxExpense,0.004978716
financial_growth.debtGrowth,0.004724748
balance_sheet.shortTermInvestments,0.002697641
cash_flow.freeCashFlow,0.001643878
cash_flow.purchasesOfInvestments,-0.001311542
enterprise_value.minusCashAndCashEquivalents,-0.001933503
ratio.shortTermCoverageRatios,-0.002149791
cash_flow.cashAtEndOfPeriod,-0.002979503
ratio.operatingCycle,-0.003059729
key_metrics.incomeQuality,-0.003232124
balance_sheet.cashAndCashEquivalents,-0.003258355
cash_flow.otherFinancingActivites,-0.003862602
key_metrics.intangiblesToTotalAssets,-0.006343336
income_statement.sellingAndMarketingExpenses,-0.007001599
key_metrics.tangibleAssetValue,-0.011699215
cash_flow.netCashUsedForInvestingActivites,-0.01280874
ratio.inventoryTurnover,-0.013178008
ratio.debtRatio,-0.013457822
key_metrics.debtToAssets,-0.013600664
key_metrics.inventoryTurnover,-0.013677404
ratio.dividendPaidAndCapexCoverageRatio,-0.014181596
ratio.longTermDebtToCapitalization,-0.017799567
cash_flow.otherNonCashItems,-0.020809103
balance_sheet.otherCurrentLiabilities,-0.02632192
income_statement.researchAndDevelopmentExpenses,-0.026830597
income_statement_growht.growthOtherExpenses,-0.029435318
income_statement_growht.growthTotalOtherIncomeExpensesNet,-0.030876016
ratio.debtEquityRatio,-0.031476522
key_metrics.debtToEquity,-0.031576083
ratio.companyEquityMultiplier,-0.032993714
S&P500_INFO.Column1,-0.033254527
income_statement.operatingIncome,-0.033444108
balance_sheet.othertotalStockholdersEquity,-0.033494211
ratio.receivablesTurnover,-0.036458842
key_metrics.receivablesTurnover,-0.036651325
balance_sheet.longTermInvestments,-0.040156067
key_metrics.revenuePerShare,-0.040717584
cash_flow.otherInvestingActivites,-0.041802507
ratio.totalDebtToCapitalization,-0.043062737
ratio.netIncomePerEBT,-0.043085104
key_metrics.interestDebtPerShare,-0.043562521
income_statement.generalAndAdministrativeExpenses,-0.045977777
cash_flow.cashAtBeginningOfPeriod,-0.047094509
key_metrics.shareholdersEquityPerShare,-0.048839668
key_metrics.bookValuePerShare,-0.048839668
balance_sheet.taxPayables,-0.048907921
key_metrics.tangibleBookValuePerShare,-0.051561119
balance_sheet.totalCurrentAssets,-0.051648594
key_metrics.daysPayablesOutstanding,-0.054942155
key_metrics.capexToDepreciation,-0.055255243
ratio.daysOfPayablesOutstanding,-0.05541207
balance_sheet.retainedEarnings,-0.057502318
balance_sheet.deferredRevenue,-0.058530739
key_metrics.payoutRatio,-0.059220768
ratio.payoutRatio,-0.059568467
income_statement.operatingExpenses,-0.060530422
ratio.dividendPayoutRatio,-0.061327436
key_metrics.capexToRevenue,-0.063465427
income_statement.grossProfit,-0.066413672
balance_sheet.otherLiabilities,-0.068608248
cash_flow.netCashProvidedByOperatingActivities,-0.071263211
cash_flow.operatingCashFlow,-0.071263211
key_metrics.netDebtToEBITDA,-0.076468614
income_statement.ebitda,-0.077908233
income_statement.otherExpenses,-0.081458794
balance_sheet.otherCurrentAssets,-0.081461765
balance_sheet.otherAssets,-0.083162784
balance_sheet.totalCurrentLiabilities,-0.087593324
key_metrics.averageReceivables,-0.093059895
balance_sheet.netReceivables,-0.094463453
cash_flow.accountsReceivables,-0.099717657
balance_sheet.goodwill,-0.099981977
balance_sheet.otherNonCurrentAssets,-0.100309657
income_statement.weightedAverageShsOutDil,-0.10309685
enterprise_value.numberOfShares,-0.104588582
income_statement.weightedAverageShsOut,-0.105047721
balance_sheet.goodwillAndIntangibleAssets,-0.105759417
income_statement.depreciationAndAmortization,-0.106957408
balance_sheet.totalStockholdersEquity,-0.107094575
balance_sheet.intangibleAssets,-0.107482955
income_statement.revenue,-0.108523862
cash_flow.depreciationAndAmortization,-0.109631589
balance_sheet.shortTermDebt,-0.111411618
balance_sheet.commonStock,-0.112535877
balance_sheet.longTermDebt,-0.115874466
income_statement.costAndExpenses,-0.116085873
balance_sheet.totalNonCurrentLiabilities,-0.117631353
enterprise_value.addTotalDebt,-0.119439447
income_statement.interestExpense,-0.123100025
balance_sheet.totalLiabilities,-0.123944515
balance_sheet.deferredTaxLiabilitiesNonCurrent,-0.125216291
balance_sheet.totalLiabilitiesAndStockholdersEquity,-0.127666421
balance_sheet.totalAssets,-0.129300379
balance_sheet.totalDebt,-0.131480528
balance_sheet.totalNonCurrentAssets,-0.134575072
key_metrics.capexToOperatingCashFlow,-0.135626386
balance_sheet.otherNonCurrentLiabilities,-0.136059174
ratio.capitalExpenditureCoverageRatio,-0.136100506
balance_sheet.netDebt,-0.136948792
balance_sheet.inventory,-0.138343354
key_metrics.averageInventory,-0.140740455
balance_sheet.accountPayables,-0.143827374
balance_sheet.taxAssets,-0.146601716
income_statement.costOfRevenue,-0.146923229
key_metrics.averagePayables,-0.15181418
balance_sheet.propertyPlantEquipmentNet,-0.15753163
key_metrics.freeCashFlowYield,-0.168371489
balance_sheet.deferredRevenueNonCurrent,-0.197141465
key_metrics.earningsYield,-0.228267356
key_metrics.dividendYield,-0.364492131
ratio.dividendYield,-0.364613786
financial_growth.bookValueperShareGrowth,
key_metrics.investedCapital,
ratio.ebtPerEbit,
